customer_id,name,email,address,phone_number,registration_date
760be9e9-84d0-48c3-ac86-a5f303422911,Charles Morales,daniellehayes@example.org,"USNV Walker
FPO AE 63196",258.521.4130x823,2024-01-25
a43b0129-4313-4dc5-8ec2-04074d57d8cc,Michael Terry,robert26@example.net,"46908 Kimberly Knoll Suite 494
Villanuevaborough, SC 87350",617-583-8371x411,2023-08-31
8e6e9543-6b65-483e-b555-04400b8cca71,Sean Burns,bradshawlouis@example.net,"4240 Wanda Village
Riverastad, VI 62322",809-902-1240x61423,2023-01-24
c18fb939-9833-492a-aef2-dee4b0314705,Jeremy Brooks,richardgarcia@example.com,"226 Lee Skyway Apt. 858
Crosbyview, FL 76824",+1-287-614-3022x52215,2023-10-01
b575db90-029c-41f3-897c-37502f5e4c55,Amy Perez,sjohnson@example.org,"355 Shaw Squares
West Linda, AR 25859",883.602.1166,2021-01-07
9cd173e4-6dd2-48e7-8fc8-feb8fc722733,Mr. Paul Curtis,jessicawilliams@example.org,"Unit 5788 Box 7685
DPO AA 89774",001-367-426-7681x790,2022-02-24
d2d28d8c-1513-4412-9d9c-3fc128041822,Jennifer Nelson,cguerra@example.org,"Unit 1492 Box 1122
DPO AP 54976",948.654.9753,2024-08-01
1cc20309-95c3-4791-8eb4-c60caa878e54,Erin Cook,thompsonbrittany@example.org,"06488 Daniels Summit
Rodriguezstad, KY 60475",221-205-6712x755,2022-12-26
7010997f-1698-4e4f-a46b-5ca17404d466,Elizabeth Alvarez,paulporter@example.org,"1126 Oliver Path Apt. 708
Garciaville, NV 96655",690-513-2381,2023-11-11
6d36dc40-54d9-4a2a-908f-be1c181ba0e3,Stephanie Hall,angelkennedy@example.net,"2282 Reed Club
South Katherine, ME 76095",001-884-567-7052x827,2022-03-13
2310f85c-3f01-48c6-87b9-a4aea6880290,Krystal Lopez,fbrown@example.net,"11319 David Ridge Apt. 624
Port Michael, DE 97994",001-537-788-0104x973,2021-07-12
8dfbe113-4e2d-4e3c-87aa-5d7e872c4a19,Shane Miller,rebeccahoward@example.org,"4886 Peterson Lane Suite 758
New Holly, GA 28096",001-719-330-1957x54429,2023-06-06
977a929e-4c38-482e-9e70-af12f485f0c8,Calvin Vaughn,collin76@example.org,"41843 Mullins Manors
Lake Yolanda, KY 87177",001-351-483-2754x672,2021-03-25
a0768cb5-de31-4ddd-9bf9-762c00065027,April Harris,karen79@example.net,"037 Daniel Locks
Brandiport, CA 26700",302-569-1728,2024-03-26
c867aa4c-31f2-428d-9bdb-fc4c5659eda9,Travis Guerra,davisjonathan@example.net,"1887 Contreras Stravenue
Port Louis, MD 19317",871.331.0947,2024-07-06
f7b3ae42-ea90-42dd-8952-f882beffa945,Kelly Brown,nicoleedwards@example.org,"5504 Timothy Light Apt. 165
Josephberg, SC 87285",5138346020,2021-09-06
65dce5f7-40f9-49b3-afa3-03d98e4ad644,Deborah Gill,matthew75@example.org,"USS Medina
FPO AA 40848",2397781218,2020-09-07
